name,ra,dec,mag_r,field,redshift,flag,N_g,N_r,N_i,N_z
J002639.86-432307.77,6.66608,-43.3855,19.1578,E1,1.142,Q,51,58,74,159
J002641.26-424900.38,6.6719,-42.8168,19.899,E1,0.882,Q,100,110,105,213
J002653.39-430438.63,6.72245,-43.0774,19.7704,E1,0.3,q,94,74,59,111
J002702.17-431756.04,6.75903,-43.2989,19.9305,E1,0.903,Q,103,110,108,215
J002716.58-424427.99,6.8191,-42.7411,20.0122,E1,1.9,q,100,107,105,216
J024028.11-005605.72,40.1171,-0.934923,20.1851,S2,1.029,Q,79,77,84,175
J024037.61-005637.80,40.1567,-0.943833,19.935,S2,1.834,Q,90,89,97,198
J024043.92-010509.09,40.183,-1.08586,22.6894,S2,0.5,q,50,78,90,177
J024051.03-010000.98,40.2126,-1.00027,21.0578,S2,0.5,q,57,49,65,130
J024051.09-010518.69,40.2129,-1.08852,20.1939,S2,1.6676,qQ,86,79,91,158
